couleur_peau,style,C1,C2,C3
"(78, 56, 48)",monochrome-dark,"(0, 0, 0)","(39, 29, 25)","(64, 64, 64)"
"(78, 56, 48)",monochrome-light,"(0, 0, 0)","(32, 32, 32)","(79, 57, 48)"
"(78, 56, 48)",analogic,"(69, 51, 45)","(73, 64, 46)","(78, 78, 48)"
"(78, 56, 48)",complement,"(39, 51, 56)","(44, 61, 67)","(78, 56, 48)"
"(78, 56, 48)",analogic-complement,"(28, 33, 35)","(39, 51, 56)","(66, 78, 48)"
"(78, 56, 48)",triad,"(39, 56, 43)","(50, 44, 67)","(78, 56, 48)"
"(63, 50, 44)",monochrome,"(0, 0, 0)","(37, 30, 26)","(76, 59, 52)"
"(63, 50, 44)",monochrome-dark,"(0, 0, 0)","(37, 30, 26)","(64, 64, 64)"
"(63, 50, 44)",monochrome-light,"(0, 0, 0)","(32, 32, 32)","(76, 59, 52)"
"(63, 50, 44)",analogic,"(56, 45, 40)","(60, 55, 42)","(63, 65, 44)"
"(63, 50, 44)",complement,"(35, 42, 45)","(40, 51, 56)","(67, 52, 45)"
"(63, 50, 44)",analogic-complement,"(24, 28, 29)","(36, 45, 49)","(56, 65, 44)"
"(63, 50, 44)",triad,"(35, 45, 38)","(45, 40, 56)","(67, 52, 45)"
