productName,price,image,category,link,teint,color,type_peau
Liquid ultra matte les chocolats - 856 70% Yum,"4,00 €",https://www.sagacosmetics.com/11691-large_default/ral-matte-les-chocolats-856-nu.jpg,levres,https://www.sagacosmetics.com/ral-matte-les-chocolats-856-nu.html#/853-couleur-856_70_yum,,brun_cuivre,
Liquid ultra matte les chocolats - 858 Oh my choc !,"4,00 €",https://www.sagacosmetics.com/11699-large_default/ral-matte-les-chocolats-858-bl.jpg,levres,https://www.sagacosmetics.com/ral-matte-les-chocolats-858-bl.html#/857-couleur-858_oh_my_choc_,,brun_cuivre,
Rouge à lèvres Edition Balmain - 648 Glamazone,"4,00 €",https://www.sagacosmetics.com/10585-large_default/rouge-a-levres-mat-glamazone-balmain.jpg,levres,https://www.sagacosmetics.com/rouge-a-levres-mat-glamazone-balmain.html#/653-couleur-balmain_648_glamazone,,brun_cuivre,
Rouge à lèvres _ Brillant - L'Oréal Paris,"4,90 €",https://www.sagacosmetics.com/17927-large_default/encre-a-levres-316-be-feline.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-316-be-feline.html#/1672-couleur-be_feline,,beige,
Rouge à lèvres Smile L'Oréal Paris x Isabel Marant - 06...,"4,50 €",https://www.sagacosmetics.com/9053-large_default/ral-isabel-marrant-smile-la-seine.jpg,levres,https://www.sagacosmetics.com/ral-isabel-marrant-smile-la-seine.html#/271-couleur-03_la_seine_shadow,,beige,
Rouge à lèvres Color Riche Cannes - 630 Beige à nu,"5,00 €",https://www.sagacosmetics.com/10593-large_default/ral-color-riche-cannes-630-beige-nu.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-cannes-630-beige-nu.html,,beige,
Lip Paint Infaillible Mat - 208 Off White,"1,90 €",https://www.sagacosmetics.com/10565-large_default/lip-paint-infaillible-mat-208.jpg,levres,https://www.sagacosmetics.com/lip-paint-infaillible-mat-208.html#/647-couleur-mat_208_off_white,,beige,
Rouge à lèvres - Color Riche Shine - 466 Likeaboss,"7,90 €",https://www.sagacosmetics.com/15353-large_default/ral-color-riche-shine-466-bl.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-shine-466-bl.html#/1286-couleur-466_likeaboss,,violet,
Encre à lèvres matte Rouge signature - 142 Prepared L'Oreal embout mousse et texture,"4,50 €",https://www.sagacosmetics.com/14949-large_default/encre-a-levres-matte-rouge-signature-142-prepared.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-matte-rouge-signature-142-prepared.html#/1258-couleur-142_prepared,,violet,
Rouge à lèvres Gold Obsession - Plum gold L'Oréal,"4,50 €",https://www.sagacosmetics.com/12604-large_default/ral-color-riche-plum-gold.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-plum-gold.html#/1036-couleur-plum_gold,,violet,
tube Rouge à lèvres Color riche shine – 470 Map to Nirvana,"7,90 €",https://www.sagacosmetics.com/15377-large_default/ral-color-riche-shine-470.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-shine-470.html#/1289-couleur-470_map_to_nirvana,,violet,
Rouge à lèvres Color matte Hannibal Laguna - 463 Plum defile L'Oréal,"5,00 €",https://www.sagacosmetics.com/12602-large_default/ral-color-riche-matte-hannibal-laguna-05.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-matte-hannibal-laguna-05.html#/1049-couleur-463_plum_defile,,violet,
Rouge à lèvres - Liquid ultra matte - 830 Blackcurrant Crush,"4,00 €",https://www.sagacosmetics.com/11320-large_default/ral-matte-les-macarons-830-nu.jpg,levres,https://www.sagacosmetics.com/ral-matte-les-macarons-830-nu.html#/789-couleur-830_blackcurrant_crush,,violet,
Rouge à lèvres Color riche Starlight in Paris -  488...,"4,50 €",https://www.sagacosmetics.com/9034-large_default/ral-color-riche-starlight-n488-close.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-starlight-n488-close.html#/265-couleur-488_close_at_night,,violet,
Lip Paint Infaillible Lacquer - 111 Purple Panic,"1,90 €",https://www.sagacosmetics.com/10559-large_default/lip-paint-infaillible-lacquer-111.jpg,levres,https://www.sagacosmetics.com/lip-paint-infaillible-lacquer-111.html#/645-couleur-lacquer_111_purple_panic,,violet,
Crayon à lèvre - Color rich - Maquillage,"5,90 €",https://www.sagacosmetics.com/18785-large_default/color-riche-crayon-a-levres-couture-374.jpg,levres,https://www.sagacosmetics.com/color-riche-crayon-a-levres-couture-374.html,,rose,
Rouge à lèvres - Rose brillant - L'Oréal Paris,"7,50 €",https://www.sagacosmetics.com/17932-large_default/encre-a-levres-317-be-incontournable.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-317-be-incontournable.html#/1673-couleur-be_incontournable,,rose,
Rouge à lèvres - Longue tenue - L'Oréal Paris,"4,90 €",https://www.sagacosmetics.com/17943-large_default/encre-a-levres-305-be-captivating.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-305-be-captivating.html#/1660-couleur-be_captivating,,rose,
Rouge à lèvre - Couleur nude - L'Oréal Paris,"4,90 €",https://www.sagacosmetics.com/17937-large_default/encre-a-levres-301-be-determined.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-301-be-determined.html#/1661-couleur-be_determined,,rose,
Rouge à lèvres - Texture légère - L'Oréal Paris,"4,90 €",https://www.sagacosmetics.com/17945-large_default/encre-a-levres-306-be-innovative.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-306-be-innovative.html#/1663-couleur-be_innovative,,rose,
Rouge à lèvres - Embout en mousse - L'Oréal Paris,"4,90 €",https://www.sagacosmetics.com/17952-large_default/encre-a-levres-312-be-powerful.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-312-be-powerful.html#/1666-couleur-be_powerful,,rose,
Gloss brillant - Rose nude - L'Oréal Paris,"6,00 €",https://www.sagacosmetics.com/17954-large_default/gloss-elie-saab-spice-drama.jpg,levres,https://www.sagacosmetics.com/gloss-elie-saab-spice-drama.html#/1667-couleur-spice_drama,,rose,
Brillant lèvres - Ultra pailleté - L'Oréal Paris,"6,00 €",https://www.sagacosmetics.com/17957-large_default/gloss-elie-saab-ambre-choc.jpg,levres,https://www.sagacosmetics.com/gloss-elie-saab-ambre-choc.html#/1668-couleur-ambre_choc,,rose,
Rouge à lèvres - Hydratation - L'Oréal Paris,"7,50 €",https://www.sagacosmetics.com/17971-large_default/encre-a-levres-302-be-ouststanding.jpg,levres,https://www.sagacosmetics.com/encre-a-levres-302-be-ouststanding.html#/1665-couleur-be_outstanding,,rose,
Brillant à lèvres - Fini laqué - L'Oréal Paris,"6,00 €",https://www.sagacosmetics.com/17960-large_default/gloss-elie-saab-oud-provocante.jpg,levres,https://www.sagacosmetics.com/gloss-elie-saab-oud-provocante.html#/1669-couleur-oud_provocant,,rose,
Maquillage lèvres - Résultat ultra mat - L'Oréal Paris,"6,90 €",https://www.sagacosmetics.com/18013-large_default/rouge-a-levres-dose-of-cocoa.jpg,levres,https://www.sagacosmetics.com/rouge-a-levres-dose-of-cocoa.html#/855-couleur-848_dose_of_cocoa,,rose,
Lipstick - Embout en mousse - L'Oréal Paris,"4,00 €",https://www.sagacosmetics.com/18021-large_default/rouge-a-levres-strawberry-sauvage.jpg,levres,https://www.sagacosmetics.com/rouge-a-levres-strawberry-sauvage.html,,rose,
Crayon liner signature - 12 Blush elastic - L'Oréal,"7,50 €",https://www.sagacosmetics.com/16918-large_default/eyeliner-le-liner-signature-12-blush.jpg,levres,https://www.sagacosmetics.com/eyeliner-le-liner-signature-12-blush.html#/1652-couleur-12_blush_elastic,,rose,
Rouge à lèvres - Color Riche - 374 Intense plum,"5,00 €",https://www.sagacosmetics.com/16682-large_default/ral-color-riche-374-nu.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-374-nu.html#/1552-couleur-374_intense_plum,,rose,
Rouge à lèvres - Color Riche - 632 Greige amoureux,"5,00 €",https://www.sagacosmetics.com/16685-large_default/ral-color-riche-632-bl.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-632-bl.html#/1554-couleur-632_greige_amoureux,,rose,
Rouge à lèvres - Color Riche - 287 Sparkling amethyst,"5,00 €",https://www.sagacosmetics.com/16681-large_default/ral-color-riche-287-bl.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-287-bl.html#/1551-couleur-287_sparkling_amethyst,,rose,
Rouge à lèvres - Color Riche - 288 Intense fuchsia,"5,00 €",https://www.sagacosmetics.com/16680-large_default/ral-color-riche-288-nu.jpg,levres,https://www.sagacosmetics.com/ral-color-riche-288-nu.html#/1550-couleur-288_intense_fuchsia,,rose,
